Gene,Pattern_1 x Pattern_2,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
CD74,vsBoth,1757,3,2,486.228748420656,2.61077117499974e-106,1.81866320050482e-102,-4.28257875046136,-17.6582120531799,-18.6374278157206,1.84739716488737e-05,8.79827791942453e-70,1.59739268784248e-77,8.92032080246634e-05,1.28878774650625e-66,3.21734854740074e-74
C1QA,vsBoth,1757,3,2,420.631893356194,4.58083766346291e-92,1.91460690982096e-88,-4.21810124034625,-16.566387236695,-17.2054296536649,2.46368202737475e-05,1.21935179239965e-61,2.41776843766272e-66,0.000115265123423605,9.82370771546775e-59,2.78267877400424e-63
HLA-DPB1,vsBoth,1757,3,2,405.413661936522,9.23723231899894e-89,3.21732801670733e-85,-2.77062401372341,-15.4055039848682,-17.6077122603574,0.00559489901603222,1.5031263220928e-53,2.14959115975841e-69,0.0121387111177247,7.1234924787886e-51,2.66433556593748e-66
IL32,vsBoth,1757,3,2,383.378039435047,5.63010501075367e-84,1.1765793451473e-80,-2.74029370041786,-15.0108619535286,-17.0999199823553,0.00613843042269784,6.23323965750356e-51,1.48608192526372e-65,0.0131509811728401,2.18339544785554e-48,1.59634920411828e-62
C1QB,vsBoth,1757,3,2,380.624835338468,2.23031994722346e-83,3.88410218808965e-80,-3.33694175970795,-15.3436286647022,-16.7309274227532,0.000847056961057512,3.90729197404553e-53,7.80140076413505e-63,0.0024766156438976,1.74883876604988e-50,6.98355391736156e-60
HLA-DPA1,vsBoth,1757,3,2,353.280099818679,1.93286286040157e-77,2.885212004048e-74,-3.29232659936344,-14.830662096739,-16.0781312182595,0.000993621494870188,9.2812980995395e-50,3.63169907814604e-58,0.00283969903278527,2.87595300534384e-47,2.4382319685903e-55
TIMP1,vsBoth,1757,3,2,339.778961269273,1.65171847664417e-74,2.03044780734764e-71,-4.13504109955311,-15.0942194791106,-15.2691733870046,3.54891115809264e-05,1.76767250296676e-51,1.22718810269931e-52,0.000159449359097458,6.78154929531032e-49,5.34423835102542e-50
C3,vsBoth,1757,3,2,333.06042315704,4.75168936233771e-73,5.51671134967408e-70,-4.44898232975007,-15.1508443284472,-14.9098735458196,8.6278113209262e-06,7.47994440420181e-52,2.84290448357947e-50,4.52686173279335e-05,2.93961815085131e-49,9.34851427426856e-48
CORO1A,vsBoth,1757,3,2,329.411017068898,2.94650040021211e-72,3.24084028229646e-69,-2.81090670812197,-14.0884952433542,-15.7155716295402,0.00494021079152967,4.46984612904389e-45,1.18309295865152e-55,0.010886435514759,9.47666193122161e-43,7.06043586768592e-53
CD52,vsBoth,1757,3,2,324.001379484615,4.40549162931563e-71,4.60329820347191e-68,-2.86029381767331,-14.018538446687,-15.549111752494,0.00423248672281118,1.20061824634683e-44,1.61327754083909e-54,0.00951423808100677,2.41819522542332e-42,8.38540032759362e-52
GSTP1,vsBoth,1757,3,2,316.864994882358,1.56185462204227e-69,1.55426847102092e-66,-3.99815234425559,-14.5793046924839,-14.7424673380024,6.38388597600494e-05,3.80370985495017e-48,3.43984020230328e-49,0.000267178064237318,1.02148628154687e-45,1.02641009592061e-46
