Gene,Pattern_1 x Pattern_3,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
CRABP2,vsBoth,2070,3,2,881.664152431975,3.54047761971898e-192,2.33571946968398e-189,-16.6261102315346,-3.38517596776036,28.0681383293344,4.50935395374394e-62,0.000711326380264847,2.3996783567998e-173,2.12917936344744e-60,0.00159319265970559,2.08906998949153e-170
S100G,vsBoth,2070,3,2,826.423694068743,3.50247445050349e-180,1.60740735053433e-177,-15.1173798015451,-2.1161586891405,27.5327067981785,1.24394585228154e-51,0.0343313133716747,7.12961953783929e-167,4.38656247504544e-50,0.0551197829892869,5.13664502806362e-164
TMBIM6,vsBoth,2070,3,2,756.450533701846,5.4809228665976e-165,1.60705225884364e-162,-14.7508511592191,-2.36295758812964,26.2416937858017,3.03808764015135e-49,0.0181297442723858,8.89153735464258e-152,1.00041424916473e-47,0.0305848859067495,4.17472664537584e-149
CD24,vsBoth,2070,3,2,753.440086413617,2.46924403283976e-164,7.04435280774057e-162,-14.4015862642014,-1.98206826364677,26.2999427823578,5.05693975511102e-47,0.0474716009635369,1.92060509314893e-152,1.54244044924689e-45,0.0742456691916804,9.12003693493345e-150
ACTG1,vsBoth,2070,3,2,728.467478035444,6.53577392872676e-159,1.62325556952177e-156,-15.5560314243716,-3.61155011293822,25.3325202804251,1.44803554411918e-54,0.000304372252086271,1.40042207893822e-141,5.52594166959892e-53,0.000725544968507073,5.0016613173155e-139
NME2,vsBoth,2070,3,2,704.758053173327,9.19884317609053e-154,1.98159977847395e-151,-14.3216400402886,-2.37970856600601,25.2992976514134,1.60295229950257e-46,0.0173263349438325,3.2515863550004e-141,4.79131385832003e-45,0.0293563458743027,1.12292594228431e-138
EIF4A1,vsBoth,2070,3,2,703.857300880861,1.44320853991946e-153,3.04675754862397e-151,-14.2564115064424,-2.31190580401063,25.303207696952,4.08949138086181e-46,0.0207828748155517,2.94485587149379e-141,1.20428172186098e-44,0.0346176900353752,1.02547243585093e-138
CFB,vsBoth,2070,3,2,702.45024388146,2.91653797350723e-153,6.09614189690209e-151,-14.0463318784196,-2.07883498838945,25.3465456218913,8.11286571673171e-45,0.0376325197926397,9.81008934624361e-142,2.27220053421627e-43,0.059959206336029,3.53391554751278e-139
RPL30,vsBoth,2070,3,2,701.242334865136,5.33533563950141e-153,1.10425755574034e-150,-14.2394685310027,-2.31890627420745,25.2527488451543,5.21219368052167e-46,0.0204001188630992,1.05650099692358e-140,1.5284346479155e-44,0.0340303300172586,3.58926887467037e-138
GAPDH,vsBoth,2070,3,2,698.919442377226,1.70439966566187e-152,3.49335741182406e-150,-14.2354217198757,-2.33817496721495,25.2038946648716,5.5228750656189e-46,0.0193781735311478,3.63061452751343e-140,1.61613711741608e-44,0.0324460366769273,1.20406737508892e-137
ATP5F1A,vsBoth,2070,3,2,685.669218413539,1.28475706929626e-149,2.48830334769847e-147,-14.0487061752595,-2.25550228600107,24.9820776421203,7.8454271536707e-45,0.0241018189537577,9.57442250354406e-138,2.20024741255327e-43,0.039702870210142,3.07758763965843e-135
RPL19,vsBoth,2070,3,2,676.406850960056,1.31861664400147e-147,2.39976861823405e-145,-14.7443803106853,-3.18338174168268,24.5121545029049,3.34374911441895e-49,0.00145565561338282,1.09609645024243e-132,1.09933315691758e-47,0.00308502719056794,2.91736193415799e-130
COPS9,vsBoth,2070,3,2,673.668775433117,5.18422807258812e-147,9.27493549494982e-145,-13.7321737661727,-2.00831402869792,24.8298974680475,6.51491053667087e-43,0.044609932064419,4.26402357331849e-136,1.70149104122416e-41,0.0701164233497283,1.31015259601662e-133
HSPE1,vsBoth,2070,3,2,629.585428786218,1.93758692755821e-137,2.58888592580262e-135,-14.072373502832,-2.8878200688291,23.7096625108914,5.61526509933615e-45,0.00387921709064638,2.86640397684062e-124,1.58116632551186e-43,0.00757905575868899,6.37119271171483e-122
PPIA,vsBoth,2070,3,2,609.176099983083,5.23709720679287e-133,6.39077220419678e-131,-13.1837516254109,-2.05737034111882,23.5679220159961,1.08840770862049e-39,0.0396506158228217,8.22371570292935e-123,2.55656508825882e-38,0.0628641056552693,1.7622790157862e-120
MT-CO1,vsBoth,2070,3,2,608.622487442952,6.90726424356354e-133,8.38041697964769e-131,-13.5255046616579,-2.4682417397944,23.4310873573713,1.1058216279384e-41,0.0135778590013175,2.06101925530772e-121,2.79208268076508e-40,0.0235299628452725,4.24255229662777e-119
NDUFV2,vsBoth,2070,3,2,605.781293328903,2.85932507941073e-132,3.41035094640903e-130,-13.3271463467765,-2.26452952792541,23.4378029533889,1.60936769679698e-40,0.0235415657619064,1.76039610399954e-121,3.91219592472689e-39,0.0388713125773404,3.64166693058559e-119
CHCHD2,vsBoth,2070,3,2,605.477204901804,3.32885973793389e-132,3.948065052108e-130,-13.1914403438905,-2.10746648613779,23.4794035673081,9.82891629822649e-40,0.0350771637631706,6.62244516802349e-122,2.31522505836522e-38,0.0562135931801192,1.39763695068787e-119
MYL12B,vsBoth,2070,3,2,605.429476480286,3.40925582748871e-132,4.02082680302314e-130,-13.7389881690002,-2.75901407592696,23.2742666195582,5.92987248020319e-43,0.00579760376955731,8.080797177788e-120,1.55355223404546e-41,0.0109256096653058,1.59279373428409e-117
HSPA1A,vsBoth,2070,3,2,594.407107349682,8.43600128031766e-130,9.27564703274928e-128,-13.4245068400714,-2.5081747597338,23.1340584126908,4.34466952856919e-41,0.0121356630531489,2.10381952252285e-118,1.07745225869626e-39,0.0212383199960015,3.97793241573132e-116
SMS,vsBoth,2070,3,2,594.133713376352,9.67171262726459e-130,1.05792500142064e-127,-12.9656534394695,-1.96784006806377,23.2941035080422,1.91590716892441e-38,0.0490864423418693,5.08734413298407e-120,4.3159036586439e-37,0.0765964063684115,1.01715238892347e-117
HSPD1,vsBoth,2070,3,2,590.682766905364,5.43083850888487e-129,5.84951182454431e-127,-13.3405756246388,-2.45051401035122,23.0772192289789,1.34417589838438e-40,0.014265241095899,7.84213409738651e-118,3.2770757447951e-39,0.0246119582854802,1.44999671472341e-115
