Gene,Pattern_6 x Pattern_8,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
HLA-A,vsBoth,457,3,2,80.2717787227588,3.70855499864572e-18,1.62240009803254e-14,-4.43239455821516,-8.9328236046086,-2.855177648597,9.31922800023478e-06,4.15271506238213e-19,0.00430127620884517,9.75557320956781e-05,2.05185651232301e-15,0.00946663953136036
HLA-DRA,vsBoth,457,3,2,74.0576352281298,8.29065491669064e-17,2.07254529124528e-13,-4.44434892888908,-8.59407188450051,-2.53616508948358,8.81584282319496e-06,8.39404676922717e-18,0.0112073885878742,9.38773262702722e-05,2.07374925433757e-14,0.0212778893420504
ACTB,vsBoth,457,3,2,71.2301143355437,3.40860910207818e-16,6.62747229747401e-13,-5.16357542002275,-8.4226635661505,-1.53996625910826,2.4227689818699e-07,3.680201367251e-17,0.123568578150868,5.23890658180269e-06,7.27354998223489e-14,0.181576905470167
HLA-C,vsBoth,457,3,2,68.5780073132385,1.28373364003378e-15,2.04218681517738e-12,-3.25296220548326,-8.13068745309575,-3.51344812801138,0.0011420868661119,4.26862647400635e-16,0.000442330770997532,0.00359983680993012,6.02608097373296e-13,0.00181573467026984
FTH1,vsBoth,457,3,2,68.0326582041804,1.68614910503681e-15,2.26968639915685e-12,-3.9483546457045,-8.21063761890113,-2.77147619710562,7.86901717736593e-05,2.20016973619385e-16,0.00558027520274467,0.000505602261032055,3.62367955551128e-13,0.0117203569720559
ACTG1,vsBoth,457,3,2,65.9703041669564,4.72857699932736e-15,5.5163579274153e-12,-3.96776761311987,-8.09340327669618,-2.64319268705908,7.25490248249078e-05,5.80203705541136e-16,0.00821282821190071,0.00047699897759131,7.16696627269688e-13,0.0162872101926556
TIMP1,vsBoth,457,3,2,65.6120706232726,5.65613662052085e-15,6.18604592015589e-12,-3.67937827856716,-8.03882091175338,-2.93160686134363,0.000233803249444527,9.07070349905913e-16,0.00337213329349924,0.00113368189941649,9.78210394356048e-13,0.00780042631235007
LGALS3BP,vsBoth,457,3,2,65.157092986792,7.10095939883283e-15,7.30939344236328e-12,-2.09243185907432,-7.63011921325826,-4.42113243429851,0.0363999013376444,2.345367279764e-14,9.81849707792523e-06,0.0602518969880405,1.28760663659044e-11,0.000101327318892932
TMSB10,vsBoth,457,3,2,63.8366267512014,1.3742084962941e-14,1.26564602508687e-11,-3.36641742558499,-7.88810750105274,-3.1622235202923,0.000761513775568367,3.06803432650628e-15,0.00156569334451746,0.00269337119905748,2.52652626787792e-12,0.00451225630435916
HLA-B,vsBoth,457,3,2,63.2481243659284,1.84435407058903e-14,1.61371759406187e-11,-4.07178354128002,-7.93989495769832,-2.38321898807148,4.66545253025042e-05,2.02352547802537e-15,0.0171619817486833,0.000339499277643112,1.81786170671334e-12,0.0308241918648652
TUBB,vsBoth,457,3,2,60.9125738080653,5.92928953886785e-14,4.32319323502702e-11,-4.5012509740905,-7.80307347393228,-1.75732761515729,6.75546811784543e-06,6.04173496620856e-15,0.0788619834107507,7.65568072712713e-05,4.59264807200562e-12,0.12084262987518
