Gene,Pattern_3 x Pattern_6,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
FDCSP,vsBoth,237,3,2,68.6555533055572,1.23491203661715e-15,2.28299166357749e-12,-2.70539163206429,-8.05254047599702,-4.61485885842851,0.00682239041771194,8.1092906976278e-16,3.93362546580842e-06,0.0142416764974352,4.54687929415991e-12,5.40584264382055e-05
UBA52,vsBoth,237,3,2,57.8655502175432,2.7205419319532e-13,1.01186022922446e-10,-2.04207853019437,-7.27010801260155,-4.61292736152163,0.0411437421964065,3.59200168254613e-13,3.97037085837864e-06,0.0679708198277111,1.18472667259036e-10,5.42972424461684e-05
IGHM,vsBoth,237,3,2,54.8115435202205,1.25263502908441e-12,3.38150846480417e-10,-2.91015539734211,-7.30109403917206,-3.67442237848978,0.00361249092227917,2.85437151535543e-13,0.000238388100074265,0.00838726153259598,1.00027881791237e-10,0.00118391680878335
CD79A,vsBoth,237,3,2,54.6324855197157,1.36995563495435e-12,3.56206754221396e-10,-2.04639428571865,-7.08284067229386,-4.43064532036663,0.0407175938360756,1.41229021563815e-12,9.39515081836613e-06,0.0673859352535052,2.93157928040396e-10,0.000106605569108551
CD74,vsBoth,237,3,2,51.4922660743698,6.58561733020126e-12,1.45030891125761e-09,-2.57908257249604,-7.02869243601225,-3.78540445183072,0.00990631040103926,2.08477950705667e-12,0.000153458788951022,0.0196966958931302,3.89645289868892e-10,0.000883412145429551
IGHG1,vsBoth,237,3,2,45.4996534678751,1.31787975106384e-10,2.34652695676123e-08,-3.48893561825097,-6.74290946333004,-2.50012402621384,0.000484947935238395,1.55245955793402e-11,0.012414983388076,0.00197036454556644,1.58266195297019e-09,0.0238966055121669
EZR,vsBoth,237,3,2,44.4926772593806,2.18040862141064e-10,3.72382643842345e-08,-3.08195848716345,-6.64317643607511,-2.85937141718211,0.00205643514108258,3.06993977788940e-11,0.00424481464891064,0.00531111553940582,2.56912721412327e-09,0.00952789260866372
ACTG1,vsBoth,237,3,2,44.132168651186,2.61108698594903e-10,4.41431948321505e-08,-2.53128230579204,-6.53638855246915,-3.37215155588542,0.0113646338724206,6.30220596228862e-11,0.000745833944983088,0.0221948805721569,4.81746330113017e-09,0.00262037302734272
PPIA,vsBoth,237,3,2,42.3640257891249,6.32075103264623e-10,1.01721548109038e-07,-2.16915054870592,-6.33630223302138,-3.58629505314136,0.030071256078047,2.35344924361318e-10,0.000335409442610534,0.0514524055018644,1.41569782295244e-08,0.00151593890812066
CD19,vsBoth,237,3,2,40.9599722608784,1.27542531899235e-09,1.92313455531306e-07,-1.98479101526315,-6.19278745678532,-3.65584176145238,0.0471677275360014,5.91094131400928e-10,0.000256339447278827,0.0765468736018408,3.15644266168096e-08,0.00124441149860812
HLA-DRA,vsBoth,237,3,2,40.485015166812,1.61730026102707e-09,2.41685307757233e-07,-3.28833953246912,-6.36040176949056,-2.36128419803687,0.00100780217436123,2.01226709763678e-10,0.0182117679919442,0.00321247685710257,1.22638930613581e-08,0.0332616883162316
GAPDH,vsBoth,237,3,2,39.5763109112877,2.54749463799658e-09,3.61334048780922e-07,-2.02644002840156,-6.10687897539333,-3.52799078590988,0.0427197125103831,1.01598217684602e-09,0.000418726731851518,0.0702699221550152,4.99702812769793e-08,0.00176129091184656
GNAS,vsBoth,237,3,2,39.4139934760041,2.76286752562336e-09,3.87221728516912e-07,-2.46416221349038,-6.19058084245682,-3.11927146242873,0.0137333942266471,5.9942914474952e-10,0.0018129884353449,0.0260595228506433,3.17075397604769e-08,0.00479954020631674
SPIB,vsBoth,237,3,2,39.0840980179257,3.258336626794e-09,4.50700662170671e-07,-3.14740927171842,-6.24597600289907,-2.40997622922192,0.00164724217632809,4.21161838369534e-10,0.0159535599221763,0.00451863350424247,2.36145442773797e-08,0.0297082731596289
HLA-DQB1,vsBoth,237,3,2,38.1611424797886,5.16907934909181e-09,7.03373016794712e-07,-2.32913387467878,-6.07332131061626,-3.15869758160375,0.0198519746311043,1.25291403955135e-09,0.00158475845199763,0.0357794991181619,6.05611122393486e-08,0.00439018806341439
MS4A1,vsBoth,237,3,2,37.99687297335,5.61156333622009e-09,7.51365884466525e-07,-2.39919559267745,-6.07457100777135,-3.08176597111052,0.0164311352940513,1.24319616338127e-09,0.00205776550270639,0.0304057345193879,6.05611122393486e-08,0.00531210459193127
EDF1,vsBoth,237,3,2,36.2453811929101,1.34714851502982e-08,1.63385686203291e-06,-2.70690388376045,-5.98779677088391,-2.65644940500928,0.00679139168217094,2.127026022638e-09,0.00789682996381686,0.0141822469876843,9.46526580073912e-08,0.0161833061429536
SPPL2B,vsBoth,237,3,2,35.8530877826096,1.63908285827431e-08,1.94562622687498e-06,-2.33823399007528,-5.9021345313057,-2.98632045727314,0.0193751131686017,3.58828366043917e-09,0.00282356586343398,0.0351082156598934,1.46857711562646e-07,0.00684763572503214
