ENSG00000188976	NOC2L	Gene Expression
ENSG00000188290	HES4	Gene Expression
ENSG00000187608	ISG15	Gene Expression
ENSG00000186891	TNFRSF18	Gene Expression
ENSG00000186827	TNFRSF4	Gene Expression
ENSG00000078808	SDF4	Gene Expression
ENSG00000160087	UBE2J2	Gene Expression
ENSG00000127054	INTS11	Gene Expression
ENSG00000175756	AURKAIP1	Gene Expression
ENSG00000221978	CCNL2	Gene Expression
ENSG00000224870	MRPL20-AS1	Gene Expression
ENSG00000242485	MRPL20	Gene Expression
ENSG00000179403	VWA1	Gene Expression
ENSG00000197785	ATAD3A	Gene Expression
ENSG00000160075	SSU72	Gene Expression
ENSG00000197530	MIB2	Gene Expression
ENSG00000078369	GNB1	Gene Expression
ENSG00000162585	FAAP20	Gene Expression
ENSG00000116151	MORN1	Gene Expression
ENSG00000157916	RER1	Gene Expression
ENSG00000157873	TNFRSF14	Gene Expression
ENSG00000158109	TPRG1L	Gene Expression
ENSG00000116198	CEP104	Gene Expression
ENSG00000198912	C1orf174	Gene Expression
ENSG00000069424	KCNAB2	Gene Expression
ENSG00000116251	RPL22	Gene Expression
ENSG00000116237	ICMT	Gene Expression
ENSG00000097021	ACOT7	Gene Expression
ENSG00000187017	ESPN	Gene Expression
ENSG00000162408	NOL9	Gene Expression
ENSG00000041988	THAP3	Gene Expression
ENSG00000007923	DNAJC11	Gene Expression
ENSG00000171735	CAMTA1	Gene Expression
ENSG00000049245	VAMP3	Gene Expression
ENSG00000049246	PER3	Gene Expression
ENSG00000049249	TNFRSF9	Gene Expression
ENSG00000116288	PARK7	Gene Expression
ENSG00000116285	ERRFI1	Gene Expression
ENSG00000074800	ENO1	Gene Expression
ENSG00000234546	LNCTAM34A	Gene Expression
ENSG00000171621	SPSB1	Gene Expression
ENSG00000171612	SLC25A33	Gene Expression
ENSG00000171603	CLSTN1	Gene Expression
ENSG00000178585	CTNNBIP1	Gene Expression
ENSG00000162441	LZIC	Gene Expression
ENSG00000173614	NMNAT1	Gene Expression
ENSG00000162444	RBP7	Gene Expression
ENSG00000130939	UBE4B	Gene Expression
ENSG00000054523	KIF1B	Gene Expression
ENSG00000142657	PGD	Gene Expression
ENSG00000142655	PEX14	Gene Expression
ENSG00000120948	TARDBP	Gene Expression
ENSG00000009724	MASP2	Gene Expression
ENSG00000116649	SRM	Gene Expression
ENSG00000171824	EXOSC10	Gene Expression
ENSG00000198793	MTOR	Gene Expression
ENSG00000120942	UBIAD1	Gene Expression
ENSG00000132879	FBXO44	Gene Expression
ENSG00000116670	MAD2L2	Gene Expression
ENSG00000011021	CLCN6	Gene Expression
ENSG00000116685	KIAA2013	Gene Expression
ENSG00000083444	PLOD1	Gene Expression
ENSG00000116688	MFN2	Gene Expression
ENSG00000116691	MIIP	Gene Expression
ENSG00000162496	DHRS3	Gene Expression
ENSG00000142634	EFHD2	Gene Expression
ENSG00000116771	AGMAT	Gene Expression
ENSG00000197312	DDI2	Gene Expression
ENSG00000116786	PLEKHM2	Gene Expression
ENSG00000162458	FBLIM1	Gene Expression
ENSG00000065526	SPEN	Gene Expression
ENSG00000055070	SZRD1	Gene Expression
ENSG00000157191	NECAP2	Gene Expression
ENSG00000238142	BX284668.5	Gene Expression
ENSG00000117118	SDHB	Gene Expression
ENSG00000179051	RCC2	Gene Expression
ENSG00000074964	ARHGEF10L	Gene Expression
ENSG00000159423	ALDH4A1	Gene Expression
ENSG00000127481	UBR4	Gene Expression
ENSG00000127463	EMC1	Gene Expression
ENSG00000053372	MRTO4	Gene Expression
ENSG00000162482	AKR7A3	Gene Expression
ENSG00000053371	AKR7A2	Gene Expression
ENSG00000077549	CAPZB	Gene Expression
ENSG00000173436	MICOS10	Gene Expression
ENSG00000162542	TMCO4	Gene Expression
ENSG00000162545	CAMK2N1	Gene Expression
ENSG00000158825	CDA	Gene Expression
ENSG00000158828	PINK1	Gene Expression
ENSG00000244038	DDOST	Gene Expression
ENSG00000127483	HP1BP3	Gene Expression
ENSG00000075151	EIF4G3	Gene Expression
ENSG00000117298	ECE1	Gene Expression
ENSG00000142798	HSPG2	Gene Expression
ENSG00000070831	CDC42	Gene Expression
ENSG00000173372	C1QA	Gene Expression
ENSG00000159189	C1QC	Gene Expression
ENSG00000173369	C1QB	Gene Expression
ENSG00000125944	HNRNPR	Gene Expression
ENSG00000204219	TCEA3	Gene Expression
ENSG00000117318	ID3	Gene Expression
ENSG00000142676	RPL11	Gene Expression
ENSG00000236810	ELOA-AS1	Gene Expression
ENSG00000011009	LYPLA2	Gene Expression
ENSG00000117308	GALE	Gene Expression
ENSG00000117305	HMGCL	Gene Expression
ENSG00000179163	FUCA1	Gene Expression
ENSG00000189266	PNRC2	Gene Expression
ENSG00000188529	SRSF10	Gene Expression
ENSG00000133226	SRRM1	Gene Expression
ENSG00000169504	CLIC4	Gene Expression
ENSG00000020633	RUNX3	Gene Expression
ENSG00000117614	SYF2	Gene Expression
ENSG00000117616	RSRP1	Gene Expression
ENSG00000183726	TMEM50A	Gene Expression
ENSG00000204178	MACO1	Gene Expression
ENSG00000117640	MTFR1L	Gene Expression
ENSG00000117632	STMN1	Gene Expression
ENSG00000142684	ZNF593	Gene Expression
ENSG00000142669	SH3BGRL3	Gene Expression
ENSG00000169442	CD52	Gene Expression
ENSG00000198830	HMGN2	Gene Expression
ENSG00000117713	ARID1A	Gene Expression
ENSG00000204160	ZDHHC18	Gene Expression
ENSG00000142751	GPN2	Gene Expression
ENSG00000198746	GPATCH3	Gene Expression
ENSG00000090273	NUDC	Gene Expression
ENSG00000186501	TMEM222	Gene Expression
ENSG00000158195	WASF2	Gene Expression
ENSG00000126709	IFI6	Gene Expression
ENSG00000117758	STX12	Gene Expression
ENSG00000130775	THEMIS2	Gene Expression
ENSG00000126698	DNAJC8	Gene Expression
ENSG00000130770	ATP5IF1	Gene Expression
ENSG00000204138	PHACTR4	Gene Expression
ENSG00000120656	TAF12	Gene Expression
ENSG00000159023	EPB41	Gene Expression
ENSG00000116350	SRSF4	Gene Expression
ENSG00000162511	LAPTM5	Gene Expression
ENSG00000134644	PUM1	Gene Expression
ENSG00000121766	ZCCHC17	Gene Expression
ENSG00000168528	SERINC2	Gene Expression
ENSG00000142910	TINAGL1	Gene Expression
ENSG00000184007	PTP4A2	Gene Expression
ENSG00000121774	KHDRBS1	Gene Expression
ENSG00000121775	TMEM39B	Gene Expression
ENSG00000084623	EIF3I	Gene Expression
ENSG00000116478	HDAC1	Gene Expression
ENSG00000175130	MARCKSL1	Gene Expression
ENSG00000160058	BSDC1	Gene Expression
ENSG00000160062	ZBTB8A	Gene Expression
ENSG00000176261	ZBTB8OS	Gene Expression
ENSG00000162521	RBBP4	Gene Expression
ENSG00000134684	YARS	Gene Expression
ENSG00000004455	AK2	Gene Expression
ENSG00000134686	PHC2	Gene Expression
ENSG00000163866	SMIM12	Gene Expression
ENSG00000187513	GJA4	Gene Expression
ENSG00000243749	TMEM35B	Gene Expression
ENSG00000116560	SFPQ	Gene Expression
ENSG00000146463	ZMYM4	Gene Expression
ENSG00000142687	KIAA0319L	Gene Expression
ENSG00000126067	PSMB2	Gene Expression
ENSG00000126070	AGO3	Gene Expression
ENSG00000116863	ADPRHL2	Gene Expression
ENSG00000054116	TRAPPC3	Gene Expression
ENSG00000054118	THRAP3	Gene Expression
ENSG00000196182	STK40	Gene Expression
ENSG00000181817	LSM10	Gene Expression
ENSG00000116898	MRPS15	Gene Expression
ENSG00000163875	MEAF6	Gene Expression
ENSG00000163877	SNIP1	Gene Expression
ENSG00000163879	DNALI1	Gene Expression
ENSG00000116922	C1orf109	Gene Expression
ENSG00000197982	C1orf122	Gene Expression
ENSG00000183431	SF3A3	Gene Expression
ENSG00000183520	UTP11	Gene Expression
ENSG00000116954	RRAGC	Gene Expression
ENSG00000168653	NDUFS5	Gene Expression
ENSG00000127603	MACF1	Gene Expression
ENSG00000090621	PABPC4	Gene Expression
ENSG00000131236	CAP1	Gene Expression
ENSG00000131238	PPT1	Gene Expression
ENSG00000084073	ZMPSTE24	Gene Expression
ENSG00000084070	SMAP2	Gene Expression
ENSG00000066136	NFYC	Gene Expression
ENSG00000179862	CITED4	Gene Expression
ENSG00000171793	CTPS1	Gene Expression
ENSG00000010803	SCMH1	Gene Expression
ENSG00000198815	FOXJ3	Gene Expression
ENSG00000127125	PPCS	Gene Expression
ENSG00000171960	PPIH	Gene Expression
ENSG00000065978	YBX1	Gene Expression
ENSG00000117385	P3H1	Gene Expression
ENSG00000117395	EBNA1BP2	Gene Expression
ENSG00000066322	ELOVL1	Gene Expression
ENSG00000159479	MED8	Gene Expression
ENSG00000178922	HYI	Gene Expression
ENSG00000126091	ST3GAL3	Gene Expression
ENSG00000132768	DPH2	Gene Expression
ENSG00000117410	ATP6V0B	Gene Expression
ENSG00000117411	B4GALT2	Gene Expression
ENSG00000117419	ERI3	Gene Expression
ENSG00000126106	TMEM53	Gene Expression
ENSG00000142937	RPS8	Gene Expression
ENSG00000070785	EIF2B3	Gene Expression
ENSG00000126088	UROD	Gene Expression
ENSG00000132781	MUTYH	Gene Expression
ENSG00000117450	PRDX1	Gene Expression
ENSG00000117448	AKR1A1	Gene Expression
ENSG00000132780	NASP	Gene Expression
ENSG00000159592	GPBP1L1	Gene Expression
ENSG00000159596	TMEM69	Gene Expression
ENSG00000173660	UQCRH	Gene Expression
ENSG00000123472	ATPAF1	Gene Expression
ENSG00000159658	EFCAB14	Gene Expression
ENSG00000187048	CYP4A11	Gene Expression
ENSG00000162365	CYP4A22	Gene Expression
ENSG00000162368	CMPK1	Gene Expression
ENSG00000123091	RNF11	Gene Expression
ENSG00000085832	EPS15	Gene Expression
ENSG00000117859	OSBPL9	Gene Expression
ENSG00000078618	NRDC	Gene Expression
ENSG00000134717	BTF3L4	Gene Expression
ENSG00000134744	TUT4	Gene Expression
ENSG00000162377	COA7	Gene Expression
ENSG00000121310	ECHDC2	Gene Expression
ENSG00000116171	SCP2	Gene Expression
ENSG00000157184	CPT2	Gene Expression
ENSG00000162385	MAGOH	Gene Expression
ENSG00000058804	NDC1	Gene Expression
ENSG00000211452	DIO1	Gene Expression
ENSG00000081870	HSPB11	Gene Expression
ENSG00000116209	TMEM59	Gene Expression
ENSG00000116205	TCEANC2	Gene Expression
ENSG00000116221	MRPL37	Gene Expression
ENSG00000243725	TTC4	Gene Expression
ENSG00000116133	DHCR24	Gene Expression
ENSG00000223956	LINC01767	Gene Expression
ENSG00000162407	PLPP3	Gene Expression
ENSG00000162409	PRKAA2	Gene Expression
ENSG00000021852	C8B	Gene Expression
ENSG00000177606	JUN	Gene Expression
ENSG00000172456	FGGY	Gene Expression
ENSG00000134709	HOOK1	Gene Expression
ENSG00000134716	CYP2J2	Gene Expression
ENSG00000162599	NFIA	Gene Expression
ENSG00000116641	DOCK7	Gene Expression
ENSG00000132855	ANGPTL3	Gene Expression
ENSG00000079739	PGM1	Gene Expression
ENSG00000162434	JAK1	Gene Expression
ENSG00000162433	AK4	Gene Expression
ENSG00000213625	LEPROT	Gene Expression
ENSG00000116678	LEPR	Gene Expression
ENSG00000198160	MIER1	Gene Expression
ENSG00000116704	SLC35D1	Gene Expression
ENSG00000142864	SERBP1	Gene Expression
ENSG00000116717	GADD45A	Gene Expression
ENSG00000116729	WLS	Gene Expression
ENSG00000116754	SRSF11	Gene Expression
ENSG00000118454	ANKRD13C	Gene Expression
ENSG00000116761	CTH	Gene Expression
ENSG00000132485	ZRANB2	Gene Expression
ENSG00000116791	CRYZ	Gene Expression
ENSG00000162623	TYW3	Gene Expression
ENSG00000117054	ACADM	Gene Expression
ENSG00000137955	RABGGTB	Gene Expression
ENSG00000036549	AC118549.1	Gene Expression
ENSG00000077254	USP33	Gene Expression
ENSG00000180488	MIGA1	Gene Expression
ENSG00000162613	FUBP1	Gene Expression
ENSG00000162616	DNAJB4	Gene Expression
ENSG00000162618	ADGRL4	Gene Expression
ENSG00000117114	ADGRL2	Gene Expression
ENSG00000142875	PRKACB	Gene Expression
ENSG00000174021	GNG5	Gene Expression
ENSG00000117151	CTBS	Gene Expression
ENSG00000117155	SSX2IP	Gene Expression
ENSG00000162642	C1orf52	Gene Expression
ENSG00000142867	BCL10	Gene Expression
ENSG00000153904	DDAH1	Gene Expression
ENSG00000142871	CCN1	Gene Expression
ENSG00000097033	SH3GLB1	Gene Expression
ENSG00000183291	SELENOF	Gene Expression
ENSG00000143013	LMO4	Gene Expression
ENSG00000065243	PKN2	Gene Expression
ENSG00000137947	GTF2B	Gene Expression
ENSG00000117226	GBP3	Gene Expression
ENSG00000117228	GBP1	Gene Expression
ENSG00000171492	LRRC8D	Gene Expression
ENSG00000233593	LINC02609	Gene Expression
ENSG00000122482	ZNF644	Gene Expression
ENSG00000122484	RPAP2	Gene Expression
ENSG00000122406	RPL5	Gene Expression
ENSG00000154511	DIPK1A	Gene Expression
ENSG00000117500	TMED5	Gene Expression
ENSG00000223745	CCDC18-AS1	Gene Expression
ENSG00000117505	DR1	Gene Expression
ENSG00000137942	FNBP1L	Gene Expression
ENSG00000067334	DNTTIP2	Gene Expression
ENSG00000023909	GCLM	Gene Expression
ENSG00000137962	ARHGAP29	Gene Expression
ENSG00000117528	ABCD3	Gene Expression
ENSG00000143036	SLC44A3	Gene Expression
ENSG00000117519	CNN3	Gene Expression
ENSG00000235501	AC105942.1	Gene Expression
ENSG00000172339	ALG14	Gene Expression
ENSG00000152078	TLCD4	Gene Expression
ENSG00000122481	RWDD3	Gene Expression
ENSG00000188641	DPYD	Gene Expression
ENSG00000099260	PALMD	Gene Expression
ENSG00000156869	FRRS1	Gene Expression
ENSG00000137996	RTCA	Gene Expression
ENSG00000170989	S1PR1	Gene Expression
ENSG00000134186	PRPF38B	Gene Expression
ENSG00000031698	SARS	Gene Expression
ENSG00000143106	PSMA5	Gene Expression
ENSG00000065135	GNAI3	Gene Expression
ENSG00000116337	AMPD2	Gene Expression
ENSG00000168765	GSTM4	Gene Expression
ENSG00000168710	AHCYL1	Gene Expression
ENSG00000134248	LAMTOR5	Gene Expression
ENSG00000121931	LRIF1	Gene Expression
ENSG00000116459	ATP5PB	Gene Expression
ENSG00000143110	C1orf162	Gene Expression
ENSG00000116473	RAP1A	Gene Expression
ENSG00000064703	DDX20	Gene Expression
ENSG00000116489	CAPZA1	Gene Expression
ENSG00000155366	RHOC	Gene Expression
ENSG00000155380	SLC16A1	Gene Expression
ENSG00000226419	SLC16A1-AS1	Gene Expression
ENSG00000081026	MAGI3	Gene Expression
ENSG00000081019	RSBN1	Gene Expression
ENSG00000116752	BCAS2	Gene Expression
ENSG00000213281	NRAS	Gene Expression
ENSG00000009307	CSDE1	Gene Expression
ENSG00000163399	ATP1A1	Gene Expression
ENSG00000203865	ATP1A1-AS1	Gene Expression
ENSG00000116815	CD58	Gene Expression
