Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
SLC2A1-AS1,vsBoth,2086,3,2,376.610047367099,1.66022633915521e-82,1.28995236981476e-81,-3.49859466877711,-17.3076340781054,-16.0726361831311,0.000467717015925442,4.11999778215907e-67,3.96844621274374e-58,0.00121664392570448,8.30407486176507e-66,6.63434873782415e-57
MKRN3,vsBoth,2086,3,2,283.202168650905,3.18735506669381e-62,1.71396118384755e-61,-3.2723645495078,-15.116856985748,-13.8001295720357,0.00106651962037075,1.25385928458886e-51,2.54394969525677e-43,0.00268621601153165,1.82081491046324e-50,3.03529091652191e-42
RASAL2-AS1,vsBoth,2086,3,2,262.988588583261,7.81184445689268e-58,3.89545009453188e-57,-4.24804543545753,-15.0261289084571,-12.6234856619526,2.15643666676247e-05,4.95106047279266e-51,1.56727427354891e-36,6.29965741063843e-05,7.09725513505222e-50,1.58663923180475e-35
RSPH14,vsBoth,2086,3,2,260.647712821324,2.51807290817578e-57,1.24424842395831e-56,-3.16127242490362,-14.512215921209,-13.2264004903797,0.00157081510501129,1.01391454105425e-47,6.1775743027752e-40,0.00388710033821241,1.34894413458083e-46,6.80449413646813e-39
ANKDD1A,vsBoth,2086,3,2,241.419817933182,3.77009787285957e-53,1.72204621280141e-52,-2.28665731847418,-13.6136156772678,-13.1534678312632,0.0222158328019767,3.32384205308801e-42,1.62545078609438e-39,0.0482471618010761,3.8670455635515e-41,1.76688849101312e-38
AC097382.3,vsBoth,2086,3,2,239.446440116187,1.01126778623017e-52,4.58356367495475e-52,-3.38414420366939,-14.0642965915415,-12.4660120313929,0.000714004921923272,6.29456116653066e-45,1.1441001661496e-35,0.00182645895836827,7.83297625550208e-44,1.13328129829938e-34
MCHR1,vsBoth,2086,3,2,214.649285905817,2.45188328693445e-47,9.91177909110986e-47,-2.84958940676687,-13.1609743738988,-12.0139324605851,0.00437757003612299,1.47175538118674e-39,3.00221654817619e-33,0.0103135599903403,1.60222465638046e-38,2.79867071107503e-32
AC025449.2,vsBoth,2086,3,2,208.556904281349,5.15755245765358e-46,2.02622910431034e-45,-2.66165365171941,-12.9062877600718,-11.9273756297143,0.00777578425548766,4.14822210537978e-38,8.52178609613999e-33,0.017809808017383,4.35315329525969e-37,7.85178150455068e-32
AC016866.1,vsBoth,2086,3,2,194.040495409452,7.32220340300572e-43,2.69068767337834e-42,-5.63871823002523,-13.5505456438349,-9.39710430146069,1.71320603561528e-08,7.86433700879238e-42,5.60853237578631e-21,6.22863779734426e-08,9.08933459513799e-41,3.62271916739712e-20
AC006449.5,vsBoth,2086,3,2,172.11793492474,4.21759926410276e-38,1.39990227296135e-37,-3.62846497355104,-12.2295427969094,-10.0860965834558,0.00028511142253393,2.16151804429489e-34,6.36504589701273e-24,0.000756280308321411,2.07096023406996e-33,4.52902608618421e-23
COMP,vsBoth,2086,3,2,167.022686180477,5.38870636995809e-37,1.74571033097359e-36,-12.0280315555875,-3.52379538026247,9.16318492498219,2.53123853472804e-33,0.000425412635164679,5.03877608808482e-20,2.36418985167996e-32,0.00111124087830016,3.14357762471179e-19
APOC1,vsBoth,2086,3,2,162.761408798896,4.53742172311346e-36,1.44259938214387e-35,-10.9436612693939,-11.8461615017588,-1.60579203986425,7.12626742333603e-28,2.25275359335591e-32,0.108319610218617,5.70170294242522e-27,2.04698442984044e-31,0.21806596445172
ACSBG1,vsBoth,2086,3,2,147.996892666076,7.29261167095017e-33,2.16198609143116e-32,-2.0247393877187,-10.7712760615002,-10.1703690118728,0.0428941318713283,4.70435323179848e-27,2.68888045583851e-24,0.0902585773878614,3.67659295275756e-26,1.93537249211428e-23
CELF3,vsBoth,2086,3,2,147.354904388602,1.00528469651406e-32,2.97281051885461e-32,-2.60403827527431,-11.01129150593,-9.80994970947398,0.00921324671232207,3.3713581762446e-28,1.0201939159243e-22,0.0209169407134894,2.72450704625168e-27,6.99784167764914e-22
AC105052.4,vsBoth,2086,3,2,141.531988397207,1.84807338737114e-31,5.30239513294051e-31,-2.50337828801774,-10.7704681947188,-9.6434339925469,0.0123013982941397,4.74581650188541e-27,5.24049251561852e-22,0.0274831494517367,3.70749713425106e-26,3.50862239889313e-21
AL451069.2,vsBoth,2086,3,2,139.456103335569,5.21785404579744e-31,1.48164134636458e-30,-2.2336827166001,-10.5797638101364,-9.72035810239852,0.0255039570008609,3.69889471270955e-26,2.46911598855725e-22,0.0549958250735192,2.81484332663067e-25,1.67206548829969e-21
AL132765.2,vsBoth,2086,3,2,135.889001090864,3.10511963486262e-30,8.62655288495704e-30,-2.89404789797475,-10.7380232327399,-9.1767661085182,0.00380310143345134,6.74736112096226e-27,4.44231812501117e-20,0.00902471249582302,5.24707192447283e-26,2.77654469170827e-19
EPCAM-DT,vsBoth,2086,3,2,134.859521596342,5.19549545570405e-30,1.43699569719923e-29,-3.14428714868869,-10.7996365982115,-8.97266706171555,0.00166491981143694,3.45568545270621e-27,2.89419873920023e-19,0.00410953290445614,2.71022869237629e-26,1.75496964687168e-18
AC098484.4,vsBoth,2086,3,2,127.710710732707,1.85341009607022e-28,4.91346014840921e-28,-2.69043566995218,-10.3630963667409,-8.96906581173112,0.00713587915467279,3.64952724758522e-25,2.99039851732384e-19,0.0164259913289382,2.69033042594641e-24,1.81254384129976e-18
MID2,vsBoth,2086,3,2,125.817567885408,4.77597748139997e-28,1.25188590107706e-27,-2.27621306196151,-10.1181486026373,-9.14239670798036,0.0228332605076333,4.59015846884971e-24,6.10833000799434e-20,0.0495212206157353,3.27899999537622e-23,3.7989825249419e-19
