Gene,Pattern_1 x Pattern_3,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
TNFSF10,vsBoth,2043,3,2,157.106603166775,7.66892670481309e-35,2.4536630892131e-34,-9.62651615453971,-2.48999638163626,10.1681909770268,6.17888832217756e-22,0.0127744395826637,2.74967903034286e-24,4.22235541658525e-21,0.0345107363135285,1.99385235866411e-23
SERPINA3,vsBoth,2043,3,2,111.448822744583,6.2978981614137e-25,1.60382338117289e-24,-10.3901529479392,-6.93765596631571,4.39314373763806,2.74911906272329e-25,3.98659097314853e-12,1.11723206182293e-05,2.04683497482133e-24,2.09028303987414e-11,4.34976104194239e-05
BHLHE40,vsBoth,2043,3,2,73.5381922399702,1.07494056095884e-16,2.23057004443241e-16,-7.27414447162056,-2.83490281856136,6.20708728744432,3.48622735224535e-13,0.00458396275747916,5.39756222871432e-10,1.88929702054734e-12,0.013347420970307,2.62807090063999e-09
GPRC5A,vsBoth,2043,3,2,64.0308218045611,1.24704954795824e-14,2.43989956310405e-14,-6.41333864633767,-2.01071121808939,6.22936702102836,1.42366786486901e-10,0.0443559684195838,4.68323478104393e-10,7.07898590369015e-10,0.109721819417921,2.28552154701465e-09
TBC1D9,vsBoth,2043,3,2,62.2949636249014,2.9704382161802e-14,5.74655123153912e-14,-7.03447095734122,-3.24974873411108,5.21550554892861,2.00018457099256e-12,0.00115507016234655,1.83316572006784e-07,1.05934917276739e-11,0.00367323055090237,8.00259924620622e-07
C3,vsBoth,2043,3,2,60.292720385467,8.08354981167986e-14,1.54410366357701e-13,-1.96648173704085,-6.23278994357674,-6.78712139161504,0.0492429899072259,4.58200396168971e-10,1.14392955416536e-11,0.120946460954591,2.23770584746028e-09,5.91400942795889e-11
CFB,vsBoth,2043,3,2,54.8958487539921,1.20093057920382e-12,2.21016674514873e-12,-7.40805250376582,-5.69941297613446,1.96626086854018,1.28167565306728e-13,1.20220674080722e-08,0.0492684845440081,7.02954908802663e-13,5.53250295468542e-08,0.12100367942354
GATA3-AS1,vsBoth,2043,3,2,54.5096374599334,1.45674192805524e-12,2.67283654383483e-12,-6.38864115288239,-2.66992143188589,5.17255114022756,1.67366292716259e-10,0.00758689974694948,2.30919269529738e-07,8.30180248380082e-10,0.0213634801345962,1.00186965176913e-06
WASHC5,vsBoth,2043,3,2,47.0471106196974,6.07924623074326e-11,1.05993140227324e-10,-5.64812974556499,-1.97262417654852,5.1735732930771,1.6220274481023e-08,0.0485383964324936,2.2965897554129e-07,7.4192187845557e-08,0.119322383691223,9.96715970172259e-07
GRB2,vsBoth,2043,3,2,44.005672879035,2.78156714591371e-10,4.73525236409541e-10,-6.13663991424145,-3.21217233553956,3.96571399323617,8.42851337927774e-10,0.00131735325875456,7.31765661513405e-05,4.06892729739488e-09,0.00415496176798569,0.000265957801732214
FXYD3,vsBoth,2043,3,2,42.8973573952508,4.84124651656817e-10,8.18376384364146e-10,-5.78622579863105,-2.59517758186662,4.41068467465552,7.19854378791888e-09,0.00945420578484228,1.03044281232776e-05,3.34235887188702e-08,0.0261808775580248,4.02295866102342e-05
ANXA2,vsBoth,2043,3,2,42.8878397318349,4.86434009965249e-10,8.22149088345411e-10,-6.03317305155894,-6.30058385623354,-0.96765365593396,1.60771085387199e-09,2.96526532544322e-10,0.333217370627546,7.67584666844736e-09,1.45836369347477e-09,0.698832098552442
CYCS,vsBoth,2043,3,2,42.8372171253977,4.98903431626949e-10,8.42888403249897e-10,-5.78102661496128,-2.59112099949826,4.40939230065881,7.42461422289993e-09,0.00956638492591749,1.03661094718175e-05,3.44500097180565e-08,0.0264636091870376,4.04560500401816e-05
APOD,vsBoth,2043,3,2,41.4831688758522,9.8184816473377e-10,1.63922256983072e-09,-5.82617769540654,-2.82838995696078,4.10774084950853,5.67112319413145e-09,0.0046782781708982,3.99548043909432e-05,2.6449864861699e-08,0.0136012195103788,0.000148790491366963
CMTM6,vsBoth,2043,3,2,38.2078233342791,5.04982793185555e-09,8.22867365809509e-09,-6.17376567380894,-4.62681131375432,1.82912611797502,6.66823496120716e-10,3.71338529730544e-06,0.0673807171509223,3.23502842591827e-09,1.49371222087752e-05,0.161720772427634
EIF5A,vsBoth,2043,3,2,37.6507359639027,6.67185448485742e-09,1.08152393457517e-08,-5.78245274093549,-3.22767078240754,3.42572528439649,7.36192547077094e-09,0.00124802517486751,0.000613160204548202,3.41648955073868e-08,0.0039503333942155,0.00202439961007385
ITPR2,vsBoth,2043,3,2,37.3786496909779,7.64415261459064e-09,1.2363002889944e-08,-2.30429496810489,-5.33998567070389,-4.91241337788654,0.0212060912371894,9.29539282976334e-08,8.99621318274119e-07,0.0552500632394496,4.11242593215334e-07,3.77429541486895e-06
GGCT,vsBoth,2043,3,2,37.3402477366853,7.79234599011856e-09,1.26007559509216e-08,-5.52656092826712,-2.68125770580541,3.8990973113267,3.26568881247542e-08,0.00733460077039018,9.65519681234452e-05,1.47716800882486e-07,0.0206932734395365,0.000346906431683219
LLGL2,vsBoth,2043,3,2,37.2423334049927,8.18332980531621e-09,1.32239266719091e-08,-5.19509906322008,-2.0505392059571,4.39293031807898,2.04610855608003e-07,0.0403118419902695,1.11832979981668e-05,8.90535299761753e-07,0.100431113900262,4.35372696096678e-05
RPS20,vsBoth,2043,3,2,33.9752513964322,4.19148482948204e-08,6.61299596990161e-08,-5.37648682721365,-2.78672105791373,3.51714799188016,7.59532532274948e-08,0.00532442889841515,0.000436210501042353,3.37840070355897e-07,0.0153451942135381,0.00146505404962934
LSM3,vsBoth,2043,3,2,33.119040244198,6.43119662890572e-08,1.00910724578323e-07,-5.06021747355204,-2.23367784492739,3.91282785443322,4.18778556637066e-07,0.0255042777750704,9.12215651596139e-05,1.79373176184971e-06,0.0655895092390238,0.000328612554492525
DUSP1,vsBoth,2043,3,2,32.8101469120929,7.50528386563592e-08,1.1741646410616e-07,-5.57996113291553,-3.54435943504511,2.64031483630189,2.40572335506482e-08,0.000393568302146772,0.00828290406503476,1.09393338584212e-07,0.00132962460095544,0.0231692332226737
